Italian Sentence,Bresciano Sentence
Che ore sono?,Che óre ghé?
Sto imparando a cucinare,Mi stò imparà a cusinà
Mi scuso per l'inconveniente,Mi scüs per l'inconvenient
Mi sento male,Me sento mal
Voglio un bicchiere d'acqua,Vöri 'n bicér d'aqua
Devo andare a scuola,Gó de na a scöla
Ci vediamo domani,Amò turna domà
Non mi piace il pesce,El pesàt mi 'n piàs mia
Non c'è niente da fare,Gh'è mia nient de fàr
Che ne pensi?,Còme 't la penset?
Abbiamo una lunga strada da percorrere,Avém 'na longa stràda da percorrèr
Questa è una grande opportunità,Sta l'é 'na gran opportunità
Ti auguro una buona giornata,Te augür 'na bòn dì
Siamo pronti a partire,Sèm pront a partìr
Non ti preoccupare,Mìa preocupàrt
Questa è la mia casa,Sta l'é la mè ca'
Ti piace questa canzone?,A te pias 'sta cansò?
Abbiamo finito il pranzo,Avém finìt 'l prànz
Non è quello che pensavo,L'é mia chèl che pensàva
Sto cercando di capire,Mi 'n cercà de capìr
È molto lontano?,L'é massa lònt?
Fai attenzione,Fà atènt
Non è colpa mia,L'é mia colpa méa
È una bella serata,L'é 'na bèl sèra
Sto aspettando qualcuno,Stò aspètànd quàlcùn
Mi manchi,Me manchèt
Stai scherzando?,Te stai scherzànd?
È il mio compleanno,L'é 'l mè compleàn
Ti voglio bene,Te vöri bèn
Non sono sicuro,Mi 'n so mia sicür
Non posso crederci,Mi 'n pöl mia crèdergh
Che bella giornata per una passeggiata,Che bèl dì per 'na passèggiada
Ho preso un taxi,Gó pres 'n tàxi
Voglio andare al mare,Vöri 'ndà al màr
È il mio posto preferito,L'é 'l mè post preferìt
Devo comprare del pane,Gó de cumprà del pan
Questa è una buona idea,Sta l'é 'na bòn' idèa
Ti piace la pizza?,A te pias 'l pìzà?
Quante persone ci sono?,Quante persòne ghè?
Mi piace il tuo sorriso,Ame 'l tò surrìs
Sto cercando una soluzione,Mi 'n cercà 'na suluziò
Vieni con me,Vègn con mè
Mi scuso per l'attesa,Mi scüs per l'atèsa
Ho trovato la mia chiave,Gó trovàt la mè ciàv
Sto bevendo un caffè,Mi stò bevènd 'n caffè
Ci vediamo più tardi,Amò turna pò
Mi piace fare sport,Ame fàr sport
Come va la vita?,Com'a va la vita?
Voglio comprare qualcosa di dolce,Vöri cumprà 'l dolz
Stiamo andando al cinema,Stèmm 'ndà al cinèma
Che ne dici di una pizza stasera?,Còme 't la penset de 'na pìzà staséra?
Voglio andare a fare la spesa,Vöri 'ndà a fàr la spèza
Non voglio sentire parlare di questo,Mi 'n vöri sentì parlà de chèl
Ho bisogno di un po' di relax,Gó besogna de 'n pö' de relax
Mi piace il tuo stile,Ame 'l tò stìl
Ti ricordi di me?,Te ricòrdat de mè?
Quanto tempo ci vuole per arrivare?,Quante temp ghè per arivà?
Mi sento molto felice,Me sento massa felìs
Il libro è interessante,El lìbro l'é interessant
Mi piace il tuo vestito,Ame 'l tò vestìt
Come si chiama questo posto?,Còme 'l se ciama 'sto post?
Quanti giorni mancano?,Quanti dì ghè?
Sei mai stato in vacanza in Italia?,Te sé mai stà in vacànza in Itàlìa?
Sto aspettando il mio amico,Stò aspètànd 'l mè amìs
Stai tranquillo,Stà tranquìl
Abbiamo bisogno di un po' di pace,Besogna 'n pö' de pàs
Non mi piace il rumore,El rumòr mi 'n piàs mia
Ho visto un film interessante,Gó vist 'n film interessant
Ci vediamo alla festa,Amò turna a la fèsta
Questa è la mia città preferita,Sta l'é la mè cità preferìta
Mi piacciono i tuoi capelli,Ame 'l tò cavéll
Quanto è lontano da qui?,Quant l'é lònt da chì?
Mi sento fortunato,Me sento fortünàt
Non mi piace questo posto,El post mi 'n piàs mia
Questa pizza è deliziosa,Sta pìzà l'é deliziósa
Vado a fare una passeggiata,Me 'ndó a fàr 'na passèggiada
Ti piace il vino rosso?,A te pias 'l vìn rós?
Non posso aspettare,Mi 'n pöl mia aspètàr
Voglio andare al parco,Vöri 'ndà al pàrc
Ho trovato una moneta per terra,Gó trovàt 'na mone'ta per tèrra
Questo è il mio piatto preferito,Stà l'é 'l mè piàtt preferìt
Non è il momento giusto per parlare,L'é mia 'l moment giüst per parlà
Mi piace fare shopping,Ame fàr shopping
Questa è la strada giusta,Sta l'é 'l stràda giüsta
Ci vediamo tra poco,Amò turna tra pö
Quante ore hai lavorato oggi?,Quante óre ghé lavoràt encö?
Mi sono divertito molto,Me sòn divertìt massa
Quanti passi mancano?,Quanti pass ghé?
Voglio andare a fare un giro,Vöri 'ndà a fàr 'n gìr
Non mi piace correre,Mi 'n piàs mia curér
Siamo in ritardo,Sèm in ritàrd
Ho bisogno di più tempo,Gó besogna de più temp
Questo è il mio lavoro,Stà l'é 'l mè laor
Sto studiando italiano,Mi stò studiànd italìan
Ho bisogno di un medico,Gó besogna de 'n mèdich
Mi piace ascoltare musica,Ame ascultà la mùsica
Ci vediamo domani pomeriggio,Amò turna domà dopomèsdè
Non voglio più aspettare,Mi 'n vöri più aspètàr
Mi sento come se stessi volando,Me sento come se stess volànd
Questa è una buona occasione,Sta l'é 'na bòn ocasiò
Mi piace molto viaggiare,Ame viàggiar
Ho bisogno di un passaggio,Gó besogna de 'n passàgg
Ci vediamo al bar,Amò turna al bar
Ti aiuto io,Te aiüta mì
Stiamo parlando di questo,Stèmm parlànd de chèl
Non è necessario,L'é mia necessari
È molto caldo oggi,L'é massa calt encö
Mi piace parlare con te,Ame parlà con tè
Questa pizza è troppo salata,Sta pìzà l'é massa salàda
Ci vediamo dopo cena,Amò turna dòpo sèra
Quante persone ci sono al tavolo?,Quante persòne ghè al tàvol?
Voglio andare a vedere un film,Vöri 'ndà a vedèr un film
Mi piacciono i cani,Ame i cani
Quanti chilometri mancano?,Quanti chilòmetri ghè?
È un giorno fantastico,L'é 'n dì fantastico
Come ti senti?,Com'a 't senti?
Sto cercando di essere paziente,Mi 'n cercà de èsser pazient
Mi piacciono i fiori,Ame i fiori
Voglio un gelato al cioccolato,Vöri 'n gelàt al cioccolàt
Domani andiamo al parco,Domà 'ndòmm al pàrc
Questa è una buona opportunità per tutti,Sta l'é 'na bòn' oportunità per tücc
Non è mai troppo tardi per iniziare,L'é mai trop tardi per iniziàr
Ho appena comprato un nuovo libro,Gó appena cumpràt 'n nòv lìbro
Non vedo l'ora di vedere il film,Mi 'n vedo l'òra de vedèr 'l film
Siamo tutti pronti per partire?,Sèm tücc pront per partìr?
Questo è il mio primo viaggio all'estero,Sta l'é 'l mè prìm viàggio a l'ester
Ci vediamo al lavoro,Amò turna al laor
Mi piace parlare di filosofia,Ame parlà de filosofia
Non sono mai stato in montagna,Mi 'n so mai stà in muntàgn
Ho bisogno di aiuto,Gó besogna de aiüt
Questo libro è molto interessante,Stà lìbro l'é massa interessant
Quanto tempo ci vorrà per arrivare?,Quant temp ghé vò per arivà?
È stata una giornata lunga,L'é stà 'na dì lunga
Mi piace fare colazione con il caffè,Ame fàr colaziò con 'l caffè
È davvero un piacere incontrarti,L'é verament 'n piàsér incontràrt
Mi piace questo posto,Ame 'sto post
Questa è una giornata perfetta per una passeggiata,Sta l'é 'na bèl dì per 'na passèggiada
Ho una grande idea,Gó 'na gran idèa
Quante persone ci sono al tavolo?,Quante persòne ghè al tàvol?
Voglio imparare a cucinare meglio,Vöri imparà a cusinà mèj
Mi sento molto fortunato oggi,Me sento massa fortünàt encö
Stai tranquillo, tutto andrà bene,Stà tranquìl, tütt andrà bèn
Ho bisogno di un po' di relax,Gó besogna de 'n pö' de relax
Sei mai stato a Venezia?,Te sé mai stà a Venezia?
Mi piacciono le cose semplici,Ame 'l simplice
Quanti anni hai?,Quanti an ghè?
Non so cosa fare,Mi 'n so còsa fàr
Mi piace andare al cinema,Ame 'ndà al cinèma
Voglio andare a vedere una mostra,Vöri 'ndà a vedèr 'na mòstra
Ti piace il gelato alla fragola?,A te pias 'l gelàt alla fragòla?
Sto studiando per l'esame,Mi stò studiànd per l'esàm
Non posso venire oggi,Mi 'n pöl mia venìr encö
Mi piace il tuo stile di vita,Ame 'l tò stil de vita
Ci vediamo più tardi,Amò turna dòpo
Questo è il mio sogno,Sta l'é 'l mè sògn
Mi fa piacere vederti felice,Me fà piàsér vedèrt felìs
Voglio mangiare qualcosa di leggero,Vöri mangià 'l legger
Questa strada è molto trafficata,Sta stràda l'é massa trafficàda
Voglio imparare a nuotare,Vöri imparà a nuotà
Mi piacerebbe andare in montagna,Ame 'rèss 'ndà in muntàgn
Quante lingue parli?,Quante lìngue 't parlet?
Questo è il mio posto preferito,Sta l'é 'l mè post preferìt
Ho una grande passione per la musica,Gó 'na gran passió per la mùsica
Mi piacciono i libri di storia,Ame 'l lìbro de storia
Questa è la mia famiglia,Sta l'é la mè famìglia
Che giorno è oggi?,Che dì l'é encö?
Voglio imparare a ballare meglio,Vöri imparà a ballà mèj
Mi piace l'idea di un viaggio all'estero,Ame 'l'idèa de 'n viàggio a l'ester
Questo è il mio lavoro da sogno,Sta l'é 'l mè laor da sògn
Quante persone ci sono alla festa?,Quante persòne ghè a la fèsta?
Ho appena finito di mangiare,Gó appena finìt de mangià
Mi sento un po' stanco,Me sento un pö' stanco
Sei mai stato a Roma?,Te sé mai stà a Roma?
Non voglio perdere tempo,Mi 'n vöri mia perdér temp
Ho una bella sorpresa per te,Gó 'na bèl sorprèsa per tè
Mi piace molto questo libro,Ame massa 'sto lìbro
Voglio imparare a suonare uno strumento,Vöri imparà a sunà 'n strüment
Quanto manca per arrivare?,Quant gh'è de lònt per arivà?
Mi piace camminare nei parchi,Ame caminà nei pàrc
Voglio un po' di cioccolato,Vöri un pö' de cioccolàt
Questo è il mio piatto preferito,Sta l'é 'l mè piàtt preferìt
Non mi piace il caldo,El calt mi 'n piàs mia
Ci vediamo alla fermata dell'autobus,Amò turna alla fermàda del tàxi
Stai lavorando oggi?,Te ghé lavoràt encö?
Mi piacerebbe mangiare qualcosa di dolce,Ame 'rèss mangià 'l dolz
Quante persone ci sono in questa stanza?,Quante persòne ghè in 'sta stanza?
Voglio andare a fare una passeggiata nel parco,Vöri 'ndà a fàr 'na passèggiada nel pàrc
Ti piace la musica pop?,A te pias 'la mùsica pop?
Mi sento bene oggi,Me sento bèn encö
Non voglio fare tardi,Mi 'n vöri mia fàr tärd
Mi piace cucinare piatti nuovi,Ame cusinà piàtt nùvi
Voglio andare a fare shopping,Vöri 'ndà a fàr shopping
Ci vediamo la prossima volta,Amò turna la pròssima òlta
Mi piace guardare le stelle,Ame guardà 'l stèll
Quante lingue parli?,Quante lìngue 't parlet?
Questa è la mia città preferita,Sta l'é la mè cità preferìta
Mi piace molto viaggiare,Ame viàggiar
Quante persone sono venute alla festa?,Quante persòne ghè venù a la fèsta?
Mi piacciono i film d'azione,Ame i film de azione
Voglio un po' di pizza,Vöri 'n pö' de pìzà
Ho visto un bel film ieri,Gó vist 'n bèl film giér
Mi piace andare in bicicletta,Ame 'ndà in bici
Mi piacerebbe imparare a dipingere,Ame 'rèss imparà a dipingèr
Stai andando a lavorare?,Te 'ndet a lavorà?
Voglio visitare un museo,Vöri visità 'n musèo
Mi piace fare una passeggiata sulla spiaggia,Ame fàr 'na passèggiada sulla spiàggia
Questa città è davvero bella,Sta cità l'é verament bèla
Non mi piace la pioggia,El piòva a me 'n piàs mia
Voglio imparare a suonare la chitarra,Vöri imparà a sunà la chitarra
Ci vediamo domani mattina,Amò turna domà mattìna
Mi piace il pane fresco,Ame 'l pan fresch
Come stai oggi?,Com'a 't senti encö?
Quante ore ci mancano?,Quante òre gh'è da manca?
Ho bisogno di una pausa,Gó besogna de 'na pausa
Non ho voglia di uscire oggi,Mi 'n vöri mia 'ndà 'n gir encö
Ti piace leggere libri gialli?,A te pias leggèr i lìbri giàll
Sto cercando una soluzione,Mi 'n cercà 'na soluzion
Questa città è piena di storia,Sta cità l'é piena de stòria
Abbiamo bisogno di più tempo,Ghé besogna de pü temp
Mi piace andare in montagna d'inverno,Ame 'ndà in muntàgn d'invèrn
Mi piace la musica classica,Ame la mùsica classica
Sto per andare in vacanza,Stò per 'ndà in vacànza
Voglio imparare a parlare inglese,Vöri imparà a parlà inglésh
Questo posto è molto tranquillo,Sta post l'é massa tranquìl
Ci vediamo al ristorante,Amò turna al ristorànt
Questa strada è molto trafficata oggi,Sta stràda l'é massa trafficàda encö
Voglio andare in spiaggia quest'estate,Vöri 'ndà in spiàggia quest'estàt
Mi piace visitare nuove città,Ame visitàr nuove cità
Sto cercando una nuova casa,Mi 'n cercà 'na nòva cà
Questo è un posto molto accogliente,Sta l'é 'n post massa accoglient
Mi piace fare passeggiate nel bosco,Ame fàr passèggiade nel bósco
Questa pizza è davvero deliziosa,Sta pìzà l'é verament deliziósa
Voglio prendere una pausa,Vöri prèndere 'na pausa
Mi piace molto lo sport,Ame massa 'l sport
Domani voglio andare al mare,Domà vöri 'ndà al màr
Ci vediamo a casa sua,Amò turna a cà soà
Questa giornata è perfetta per un picnic,Sta dì l'é perfetta per 'n picnic
Non mi piace correre molto,Mi 'n piàs mia currer massa
Voglio imparare a fare il pane,Vöri imparà a fàr 'l pan
Ho bisogno di un po' di tempo per pensare,Gó besogna de 'n pö' de temp per pensà
Questo posto è lontano dalla città,Sta l'é lòntan da la cità
Mi piace guardare film romantici,Ame guardà film romantìc
Voglio andare a fare una passeggiata nel parco,Vöri 'ndà a fàr 'na passèggiada nel pàrc
Ci vediamo più tardi al bar,Amò turna dòpo al bàr
Mi piace il gelato al pistacchio,Ame 'l gelàt al pistàcc
Voglio passare una giornata al mare,Vöri passà 'na dì al màr
Ti piace andare a correre la mattina?,A te pias 'ndà a currer la mattìna?
Questa è la mia canzone preferita,Sta l'é la mè cansòn preferìta
Mi piace molto cucinare dolci,Ame massa cusinà dolz
Quante persone ci sono nella tua famiglia?,Quante persòne ghè in la tò famìglia?
Mi piacerebbe andare a teatro,Ame 'rèss 'ndà a teatr
Ho bisogno di fare una passeggiata,Gó besogna de fàr 'na passèggiada
Questa è una giornata perfetta per rilassarsi,Sta dì l'é perfetta per rilassàs
Mi piace fare yoga,Ame fàr yoga
Ci vediamo in piazza,Amò turna in piàzza
Voglio provare il nuovo ristorante,Vöri pruvàr 'l nòv ristorànt
Non mi piace il rumore,El rumór mi 'n piàs mia
Mi piace andare a fare escursioni,Ame 'ndà a fàr escursiù
Questo posto è molto famoso,Sta post l'é massa famòs
Mi piace il sapore del cioccolato fondente,Ame 'l sapor del cioccolàt fondènt
Quanti giorni di vacanza hai?,Quanti dì de vacànza 't ghè?
Questa città è molto vivace,Sta cità l'é massa vivàcia
Mi piacerebbe vedere un film stasera,Ame 'rèss vedè 'n film staséra
Voglio prendere un caffè,Vöri prèndere un caffè
Quante ore di sonno hai avuto stanotte?,Quante òre de sògn 't ghé avùt stànòtt?
Ci vediamo alla fermata del bus,Amò turna alla fermàda del bus
Mi piace fare un giro in bicicletta,Ame fàr 'n gir in bici
Questo posto è molto affollato,Sta post l'é massa affollàt
Questa pizza è troppo buona,Sta pìzà l'é massa bùna
Mi piace andare a fare shopping nel fine settimana,Ame 'ndà a fàr shopping nel fin de setìmana
Voglio imparare a fotografare,Vöri imparà a fotografàr
Quanti libri hai letto quest'anno?,Quanti lìbri 't ghè lett quest'an?
Mi piace il gelato alla vaniglia,Ame 'l gelàt alla vanìglia
Ci vediamo alla tua festa di compleanno,Amò turna alla tò fèsta de compleàn
Questa torta è davvero buona,Sta torta l'é verament bùna
Mi piacerebbe viaggiare in treno,Ame 'rèss viàggiar in treno
Voglio prendere un po' di riposo,Vöri prèndere 'n pö' de ripòso
Mi piace passeggiare in montagna,Ame passeggià in muntàgn
Questa casa è molto accogliente,Sta cà l'é massa accoglient
Mi piace leggere romanzi gialli,Ame leggèr romànzi giàll
Ho voglia di fare qualcosa di divertente,Gó vöia de fàr còsa de divertènt
Voglio imparare a ballare meglio,Vöri imparà a ballà mèj
Mi piace fare una passeggiata nel parco al tramonto,Ame fàr 'na passèggiada nel pàrc al tramónt
Questo posto è molto tranquillo di notte,Sta post l'é massa tranquìl de nòt
Ti piace il mare d'inverno?,A te pias 'l màr d'invèrn?
Mi piace leggere libri storici,Ame leggèr lìbri storìci
Voglio provare il cibo locale,Vöri pruvà 'l cibo local
